	run	task	split	label	tn_count	fp_count	fn_count	tp_count
155	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	QUANTITY	20164	0	35	155
156	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	TIME	19972	21	11	350
157	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	WORK_OF_ART	20111	41	73	129
158	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_macro_avg_	345311	707	921	19433
159	../../jiant_outputs/bert-base-uncased-mix_12-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_micro_avg_	345311	707	921	19433
160	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	CARDINAL	11521	60	19	986
161	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	DATE	10764	35	37	1750
162	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	EVENT	12491	10	28	57
163	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	FAC	12418	19	62	87
164	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	GPE	9980	60	200	2346
165	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LANGUAGE	12563	1	12	10
166	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LAW	12537	5	14	30
167	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	LOC	12344	27	44	171
168	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	MONEY	12227	4	5	350
169	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	NORP	11562	34	24	966
170	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORDINAL	12370	9	3	204
171	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	ORG	10472	112	257	1745
172	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERCENT	12178	0	0	408
173	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PERSON	10218	234	92	2042
174	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	PRODUCT	12495	1	44	46
175	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	QUANTITY	12431	2	34	119
176	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	TIME	12333	28	17	208
177	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	WORK_OF_ART	12386	31	87	82
178	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_macro_avg_	213290	672	979	11607
179	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	test	_micro_avg_	213290	672	979	11607
180	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	CARDINAL	18566	68	32	1688
181	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	DATE	17075	71	53	3155
182	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	EVENT	20161	14	79	100
183	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	FAC	20195	26	66	67
184	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	GPE	16563	142	284	3365
185	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LANGUAGE	20313	6	18	17
186	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LAW	20285	4	8	57
187	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	LOC	19997	41	91	225
188	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	MONEY	19492	9	13	840
189	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	NORP	19028	49	70	1207
190	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORDINAL	20014	5	7	328
191	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	ORG	16309	247	490	3308
192	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERCENT	19698	0	3	653
193	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PERSON	16797	394	167	2996
194	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	PRODUCT	20128	12	153	61
195	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	QUANTITY	20162	2	37	153
196	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	TIME	19967	26	20	341
197	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	WORK_OF_ART	20111	41	126	76
198	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_macro_avg_	344861	1157	1717	18637
199	../../jiant_outputs/bert-base-uncased-mix_1-edges-ner-ontonotes/run	edges-ner-ontonotes	val	_micro_avg_	344861	1157	1717	18637
